Parcel_ID,GPIN,Property Street,House Number,Block Number,Full Road Name,Road Name,Property City,Property State,Property Zip,Zip Code Short,Neighborhood,Property Use,Parcel Square Footage,Finished Living Space,2016 Land,2016 Building,2015 Land,2015 Building,2012 Land,2012 Building,Most Recent Sale Date, Sale Price 
71051506                  ,1427898877,817 Mowbray Arch,817 ,800,Mowbray Arch,Mowbray Arch,Norfolk                         ,VA  ,23507-1833,23507,150400,Single Family - Detached,0,3255,183200,353600,183200,353600,183200,353600,Feb  6 2002,0
71051508                  ,1427898843,813 Mowbray Arch,813 ,800,Mowbray Arch,Mowbray Arch,Norfolk                         ,VA  ,23507-1833,23507,150400,Single Family - Detached,5000,4385,190700,464500,190700,440200,190700,440200,Dec  8 2015,0
71051650                  ,1427891665,624 Botetourt Gdns,624 ,600,Botetourt Gdns,Botetourt Gdns,Norfolk                         ,VA  ,23507-1804,23507,150400,Single Family - Detached,0,4045,209800,450100,209800,450100,209800,450100,Nov 30 2007,836000
71051652                  ,1427891641,618 Botetourt Gdns,618 ,600,Botetourt Gdns,Botetourt Gdns,Norfolk                         ,VA  ,23507-1804,23507,150400,Single Family - Detached,0,4195,172000,426600,172000,426600,172000,426600,Jul 24 2003,0
71051654                  ,1427890594,606 Botetourt Gdns,606 ,600,Botetourt Gdns,Botetourt Gdns,Norfolk                         ,VA  ,23507-1804,23507,150400,Single Family - Detached,0,3129,152600,337300,152600,337300,152600,337300,Apr 13 2007,605000
71051670                  ,1427893828,724 Botetourt Gdns,724 ,700,Botetourt Gdns,Botetourt Gdns,Norfolk                         ,VA  ,23507-1813,23507,150400,Single Family - Detached,0,3905,209800,429600,209800,408500,209800,408500,May 12 2015,650000
71051671                  ,1427893987,800 Botetourt Gdns,800 ,800,Botetourt Gdns,Botetourt Gdns,Norfolk                         ,VA  ,23507-1815,23507,150400,Single Family - Detached,0,5140,211500,493700,211500,493700,211500,493700,Oct 30 2008,825000
71051672                  ,1427892894,718 Botetourt Gdns,718 ,700,Botetourt Gdns,Botetourt Gdns,Norfolk                         ,VA  ,23507-1813,23507,150400,Single Family - Detached,0,5182,172000,510000,172000,510000,172000,510000,Sep 19 2011,775000
71051674                  ,1427892860,712 Botetourt Gdns,712 ,700,Botetourt Gdns,Botetourt Gdns,Norfolk                         ,VA  ,23507-1813,23507,150400,Single Family - Detached,0,3400,172000,415400,172000,415400,172000,415400,May 29 2012,0
71051676                  ,1427892746,706 Botetourt Gdns,706 ,700,Botetourt Gdns,Botetourt Gdns,Norfolk                         ,VA  ,23507-1813,23507,150400,Single Family - Detached,0,4309,172000,447100,172000,447100,172000,447100,Feb 14 2014,0
71051678                  ,1427894258,300 W Olney Rd,300 ,300,W Olney Rd,W Olney ,Norfolk                         ,VA  ,23507-1821,23507,150400,Single Family - Detached,0,3526,342600,365600,342600,365600,342600,365600,Jan 24 2012,0
71051680                  ,1427895302,607 Mowbray Arch,607 ,600,Mowbray Arch,Mowbray Arch,Norfolk                         ,VA  ,23507-1852,23507,150400,Single Family - Detached,4000,3711,152600,397200,152600,397200,152600,397200,May 22 2012,517500
