Parcel_ID,GPIN,Property Street,House Number,Block Number,Full Road Name,Road Name,Property City,Property State,Property Zip,Zip Code Short,Neighborhood,Property Use,Parcel Square Footage,Finished Living Space,2016 Land,2016 Building,2015 Land,2015 Building,2012 Land,2012 Building,Most Recent Sale Date, Sale Price 
70175030                  ,1428812370,447 W Princess Anne Rd,447 ,400,W Princess Anne Rd,W Princess ,Norfolk                         ,VA  ,23517-2125,23517,150400,Single Family - Attached,0,1706,105100,219100,105100,219100,105100,219100,Jun 29 1988,130000
70187150                  ,1428812240,441 Westover Mews,441 ,400,Westover Mews,Westover Mews,Norfolk                         ,VA  ,23507-1865,23507,150400,Single Family - Attached,0,1846,90600,245600,90600,245600,90600,245600,Jul  7 2011,315000
70187155                  ,1428812254,443 Westover Mews,443 ,400,Westover Mews,Westover Mews,Norfolk                         ,VA  ,23507-1865,23507,150400,Single Family - Attached,0,1846,90600,245600,90600,245600,90600,245600,Aug 24 2011,315000
70191600                  ,1428914506,1370 Botetourt Gdns,1370 ,1300,Botetourt Gdns,Botetourt Gdns,Norfolk                         ,VA  ,23517-2206,23517,150400,Single Family - Detached,8300,3084,273300,353500,273300,353500,273300,353500,Dec 14 2007,692000
70191625                  ,1428913468,1360 Botetourt Gdns,1360 ,1300,Botetourt Gdns,Botetourt Gdns,Norfolk                         ,VA  ,23517-2206,23517,150400,Single Family - Detached,0,2224,133600,270900,133600,270900,133600,270900,Apr 23 2003,0
70191630                  ,1428913445,1354 Botetourt Gdns,1354 ,1300,Botetourt Gdns,Botetourt Gdns,Norfolk                         ,VA  ,23517-2204,23517,150400,Single Family - Detached,0,2224,133600,266200,133600,266200,133600,266200,Jul  5 1983,155000
70191632                  ,1428915217,1345 Llewellyn Av,1345 ,1300,Llewellyn Av,Llewellyn Av,Norfolk                         ,VA  ,23517-2266,23517,150400,Single Family - Attached,0,1966,116000,261300,116000,261300,116000,261300,Jul 11 2016,325000
70191634                  ,1428915330,1349 Llewellyn Av,1349 ,1300,Llewellyn Av,Llewellyn Av,Norfolk                         ,VA  ,23517-2266,23517,150400,Single Family - Detached,0,2659,191500,388900,191500,388900,191500,388900,May 12 2005,558000
70191636                  ,1428915344,1353 Llewellyn Av,1353 ,1300,Llewellyn Av,Llewellyn Av,Norfolk                         ,VA  ,23517-2266,23517,150400,Single Family - Attached,0,1966,102200,253900,102200,253900,102200,253900,Feb 10 2004,275000
70191637                  ,1428915356,1357 Llewellyn Av,1357 ,1300,Llewellyn Av,Llewellyn Av,Norfolk                         ,VA  ,23517-2266,23517,150400,Single Family - Attached,2100,1852,73300,246500,73300,246500,73300,246500,Oct 30 2001,219000
70191638                  ,1428915369,1361 Llewellyn Av,1361 ,1300,Llewellyn Av,Llewellyn Av,Norfolk                         ,VA  ,23517-2266,23517,150400,Single Family - Attached,0,1966,146900,253900,146900,253900,146900,253900,Jul 31 2003,0
